17100,8500,100,100,100,100,3.47174e-06
16900,8500,100,100,100,100,2.16703e-06
16900,8700,100,100,100,100,9.37308e-07
17100,8700,100,100,100,100,1.50043e-06
17300,8700,100,100,100,100,2.40046e-06
17500,8700,100,100,100,100,3.82684e-06
17500,8500,100,100,100,100,8.89745e-06
17300,8500,100,100,100,100,5.56392e-06
17300,8300,100,100,100,100,1.29295e-05
17500,8300,100,100,100,100,2.07286e-05
17500,8100,100,100,100,100,4.83991e-05
17300,8100,100,100,100,100,3.01279e-05
17100,8100,100,100,100,100,1.87558e-05
17100,8300,100,100,100,100,8.05702e-06
16900,8300,100,100,100,100,5.02606e-06
16900,8100,100,100,100,100,1.1694e-05
16700,8100,100,100,100,100,7.30305e-06
16700,8300,100,100,100,100,3.14102e-06
16500,8300,100,100,100,100,1.96567e-06
16500,8100,100,100,100,100,4.56369e-06
16300,8100,100,100,100,100,2.8482e-06
16100,8100,100,100,100,100,1.771e-06
16100,8300,100,100,100,100,7.68064e-07
16300,8300,100,100,100,100,1.23005e-06
16300,8500,100,100,100,100,5.32115e-07
16100,8500,100,100,100,100,3.33347e-07
16100,8700,100,100,100,100,1.44861e-07
16300,8700,100,100,100,100,2.30678e-07
16500,8700,100,100,100,100,3.67454e-07
16500,8500,100,100,100,100,8.48714e-07
16700,8500,100,100,100,100,1.35492e-06
16700,8700,100,100,100,100,5.86283e-07
16700,8900,100,100,100,100,2.54503e-07
16700,9100,100,100,100,100,1.10839e-07
16500,9100,100,100,100,100,6.95111e-08
16500,8900,100,100,100,100,1.59567e-07
16300,8900,100,100,100,100,1.00251e-07
16100,8900,100,100,100,100,6.30634e-08
16100,9100,100,100,100,100,2.75142e-08
16300,9100,100,100,100,100,4.36907e-08
16300,9300,100,100,100,100,1.90992e-08
16100,9300,100,100,100,100,1.20352e-08
16100,9500,100,100,100,100,5.27967e-09
16300,9500,100,100,100,100,8.37622e-09
16500,9500,100,100,100,100,1.33223e-08
16500,9300,100,100,100,100,3.03802e-08
16700,9300,100,100,100,100,4.84285e-08
16700,9500,100,100,100,100,2.12276e-08
16900,9500,100,100,100,100,3.38295e-08
17100,9500,100,100,100,100,5.37856e-08
17100,9300,100,100,100,100,1.23146e-07
